fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.1,0.17,0.26,11.8,0.042,55.0,173.0,0.99699,3.21,0.42,9.3,6.0
7.1,0.24,0.73,14.35,0.044,27.0,191.0,0.99784,2.96,0.88,9.3,5.0
7.1,0.32,0.3,1.6,0.045,44.0,140.0,0.99288,3.14,0.5,10.1,5.0
6.2,0.12,0.39,1.5,0.034,52.0,196.0,0.99437,3.22,0.32,10.0,7.0
7.7,0.25,0.35,6.4,0.053,49.0,118.0,0.99383,3.06,0.4,11.2,5.0
6.0,0.39,0.29,9.5,0.048,20.0,142.0,0.9966,3.09,0.39,10.8,6.0
6.7,0.18,0.14,1.6,0.034,25.0,108.0,0.9893,3.07,0.54,10.5,7.0
6.4,0.15,0.45,7.7,0.043,53.0,180.0,0.9932,3.26,0.5,10.5,5.0
6.4,0.17,0.33,1.5,0.025,43.0,117.0,0.9911,3.26,0.51,9.1,7.0
6.4,0.24,0.26,7.9,0.03,53.0,180.0,0.99383,3.13,0.32,9.3,5.0
5.4,0.17,0.74,2.1,0.044,34.0,134.0,0.99084,3.12,0.47,11.2,6.0
6.7,0.3,0.29,4.4,0.048,17.0,143.0,0.9932,3.3,0.49,9.1,5.0
7.9,0.27,0.26,1.8,0.057,52.0,173.0,0.9934,3.21,0.5,9.5,7.0
7.7,0.16,0.29,5.15,0.035,21.0,105.0,0.9942,3.15,0.35,12.4,6.0
7.6,0.31,0.39,1.6,0.062,21.0,106.0,0.99658,3.29,0.36,10.8,7.0
7.2,0.3,0.39,1.8,0.036,28.0,124.0,0.99096,2.98,0.41,9.2,7.0
5.9,0.25,0.24,1.4,0.057,35.0,169.0,0.9941,3.53,0.52,11.0,8.0
6.4,0.19,0.49,1.6,0.047,61.0,134.0,0.994,3.53,0.66,11.9,7.0
7.4,0.3,0.35,1.6,0.038,53.0,138.0,0.99178,3.28,0.39,8.8,5.0
7.2,0.31,0.39,1.1,0.036,32.0,134.0,0.99096,3.25,0.39,11.4,7.0
7.4,0.3,0.49,1.6,0.049,67.0,210.0,0.9937,3.17,0.49,9.5,5.0
7.6,0.3,0.4,1.4,0.035,23.0,116.0,0.99388,3.3,0.33,10.2,7.0
6.4,0.19,0.32,9.5,0.147,50.0,132.0,0.994,3.14,0.37,11.7,5.0
7.6,0.67,0.49,1.6,0.046,25.0,109.0,0.993,3.21,0.52,10.3,7.0
6.2,0.25,0.3,14.2,0.056,49.0,192.0,0.99658,3.1,0.5,10.2,6.0
6.4,0.18,0.31,1.6,0.036,20.0,142.0,0.99178,3.29,0.36,9.5,6.0
5.5,0.25,0.38,6.3,0.05,53.0,180.0,0.99555,3.28,0.5,9.8,5.0
6.4,0.27,0.26,7.9,0.052,41.0,200.0,0.9949,3.39,0.47,9.5,6.0
6.4,0.22,0.45,7.9,0.043,52.0,183.0,0.99636,3.1,0.45,9.7,7.0
6.4,0.25,0.39,1.4,0.051,74.0,184.0,0.9908,3.18,0.5,9.5,7.0
8.3,0.39,0.25,2.9,0.053,30.0,149.0,0.99382,3.17,0.47,9.5,5.0
7.4,0.25,0.32,5.8,0.041,16.0,99.0,0.99261,3.17,0.52,9.8,5.0
7.4,0.34,0.26,2.9,0.054,33.0,152.0,0.9976,3.18,0.4,11.5,7.0
5.9,0.32,0.34,9.5,0.053,49.0,226.0,0.99699,3.1,0.6,9.7,8.0
6.3,0.3,0.49,1.6,0.049,53.0,116.0,0.9949,3.21,0.52,9.2,4.0
7.1,0.24,0.26,1.5,0.036,61.0,209.0,0.99084,3.29,0.41,12.7,7.0
7.7,0.18,0.49,15.55,0.043,41.0,200.0,0.9937,3.18,0.5,10.1,6.0
7.4,0.27,0.25,1.5,0.057,56.0,115.0,0.99568,3.01,0.42,9.5,5.0
8.3,0.3,0.33,1.4,0.049,52.0,196.0,1.0001,3.15,0.49,9.5,5.0
5.2,0.27,0.49,5.2,0.048,28.0,124.0,0.9908,3.09,0.42,12.4,8.0
5.9,0.23,0.45,12.0,0.053,49.0,226.0,0.99787,3.07,0.47,9.8,7.0
6.9,0.39,0.28,4.7,0.052,26.0,108.0,0.9941,3.35,0.47,11.5,7.0
7.7,0.3,0.49,1.6,0.049,52.0,173.0,0.9942,3.19,0.47,9.7,7.0
6.8,0.27,0.26,6.3,0.058,37.0,151.0,0.99555,3.38,0.48,10.1,6.0
7.7,0.35,0.7,7.8,0.028,30.0,124.0,0.9914,3.16,0.39,12.1,5.0
7.0,0.29,0.49,4.7,0.036,49.0,159.0,0.99188,3.32,0.47,11.0,6.0
6.3,0.26,0.32,22.6,0.048,49.0,192.0,0.9949,3.2,0.54,9.5,6.0
7.6,0.2,0.26,7.8,0.086,66.0,272.0,0.9963,3.15,0.6,10.2,5.0
6.9,0.27,0.26,5.2,0.042,53.0,138.0,0.992,3.14,0.42,11.2,6.0
6.4,0.23,0.31,1.5,0.045,17.0,105.0,0.99178,3.3,0.32,10.7,7.0
5.9,0.27,0.26,1.6,0.032,26.0,104.0,0.993,3.15,0.4,12.0,7.0
6.4,0.16,0.32,2.1,0.044,43.0,117.0,0.99059,3.04,0.47,11.0,7.0
6.4,0.16,0.26,1.4,0.045,47.0,182.0,0.99434,3.32,0.47,9.5,5.0
5.7,0.32,0.49,16.6,0.028,50.0,228.0,0.99434,3.14,0.47,10.7,8.0
7.6,0.16,0.26,10.3,0.05,40.0,126.0,0.99514,3.38,0.5,9.5,5.0
6.7,0.27,0.24,1.6,0.032,55.0,173.0,0.9952,3.14,0.42,11.0,7.0
8.3,0.54,0.29,10.8,0.058,35.0,169.0,0.9963,3.07,0.6,9.4,5.0
6.7,0.27,0.37,1.4,0.043,29.0,117.0,0.9932,3.3,0.51,10.5,7.0
6.6,0.17,0.32,1.7,0.047,52.0,183.0,0.992,3.11,0.47,8.9,7.0
7.7,0.16,0.26,1.5,0.053,30.0,148.0,0.9979,3.07,0.47,9.4,5.0
7.7,0.19,0.39,7.8,0.041,74.0,184.0,0.9988,3.17,0.66,9.3,4.0
7.6,0.105,0.4,1.6,0.045,47.0,146.0,0.9938,3.16,0.57,9.3,7.0
6.0,0.29,0.21,15.55,0.043,52.0,173.0,0.99684,3.38,0.47,10.1,5.0
7.1,0.24,0.36,1.5,0.032,6.1,106.0,0.9903,3.1,0.4,9.3,7.0
6.9,0.25,0.33,1.6,0.038,52.0,173.0,0.9941,3.25,0.3,9.7,7.0
5.2,0.53,0.16,5.2,0.033,36.0,99.0,0.9976,3.18,0.53,9.4,6.0
6.9,0.22,0.45,8.2,0.051,54.0,164.0,0.9963,3.07,0.45,9.3,6.0
6.9,0.25,0.32,1.5,0.045,41.0,220.0,0.9963,3.07,0.52,11.5,6.0
7.4,0.32,0.49,9.8,0.036,40.0,126.0,0.9969,2.99,0.41,9.7,6.0
6.8,0.35,0.26,5.8,0.053,37.0,151.0,0.9961,3.17,0.4,9.3,7.0
7.7,0.3,0.49,1.6,0.049,53.0,138.0,0.9937,3.29,0.49,10.5,6.0
7.6,0.23,0.32,4.4,0.042,30.0,149.0,0.9966,3.17,0.39,10.2,7.0
6.3,0.27,0.26,8.2,0.053,50.0,228.0,0.9942,3.53,0.45,9.5,7.0
6.3,0.28,0.34,1.5,0.045,26.0,108.0,0.99188,3.18,0.7,10.7,5.0
7.6,0.17,0.7,10.3,0.048,38.0,124.0,0.9932,3.17,0.51,12.4,5.0
7.7,0.25,0.39,1.8,0.044,13.0,63.0,0.9916,3.28,0.47,12.2,5.0
6.1,0.16,0.49,1.5,0.036,56.0,115.0,0.9898,3.29,0.42,10.5,6.0
6.7,0.28,0.29,14.0,0.028,49.0,192.0,0.9988,3.14,0.54,9.3,6.0
6.9,0.19,0.29,10.8,0.069,28.0,124.0,0.99546,2.99,0.66,10.9666666667,7.0
6.9,0.27,0.29,7.8,0.028,54.0,166.0,0.99434,3.11,0.36,10.1,7.0
6.3,0.3,0.26,13.5,0.049,33.0,169.0,0.994,3.14,0.49,9.5,5.0
6.4,0.23,0.49,1.4,0.047,29.0,142.0,0.9939,3.34,0.47,10.7,7.0
7.4,0.67,0.39,5.2,0.051,33.0,151.0,0.99084,3.22,0.47,10.1,7.0
6.8,0.29,0.29,5.4,0.036,21.0,105.0,0.9941,3.18,0.39,10.4,6.0
6.4,0.18,0.32,5.7,0.041,20.0,63.0,0.99555,3.17,0.5,12.4,5.0
6.7,0.17,0.29,7.1,0.03,26.0,108.0,0.99334,3.0,0.36,10.5,6.0
6.6,0.33,0.23,6.3,0.045,54.0,214.0,0.99096,3.22,0.42,10.2,5.0
7.1,0.35,0.14,1.5,0.043,38.0,124.0,0.99164,3.31,0.74,9.3,5.0
7.9,0.32,0.39,1.6,0.053,36.0,99.0,0.99084,3.15,0.6,9.5,6.0
7.0,0.19,0.37,1.5,0.057,41.0,107.0,0.9934,3.07,0.66,10.8,5.0
6.4,0.25,0.3,1.6,0.048,53.0,138.0,0.9939,3.3,0.5,10.7,7.0
8.1,0.23,0.53,10.3,0.048,55.0,169.0,0.9976,3.09,0.5,9.4,5.0
7.6,0.25,0.33,1.5,0.05,53.0,180.0,0.9963,3.06,0.47,9.3,6.0
7.6,0.32,0.26,1.6,0.053,26.0,146.0,0.99787,3.11,0.4,9.5,7.0
5.7,0.3,0.45,1.6,0.037,30.0,122.0,0.99699,3.11,0.56,12.4,6.0
5.9,0.23,0.32,8.2,0.041,50.0,189.0,0.99975,3.17,0.55,11.4,8.0
6.6,0.17,0.37,1.4,0.036,43.0,117.0,0.9916,3.42,0.51,10.5,5.0
6.0,0.18,0.26,2.1,0.029,55.0,173.0,0.9893,3.07,0.54,11.5,5.0
6.4,0.3,0.3,1.6,0.049,17.0,143.0,0.9911,3.25,0.47,9.5,7.0
7.6,0.28,0.26,1.5,0.032,31.0,148.0,0.99658,3.15,0.4,11.5,7.0
7.1,0.25,0.39,6.8,0.041,35.0,151.0,0.9937,3.17,0.51,9.3,6.0
6.1,0.53,0.36,12.3,0.048,37.0,213.0,0.9929,3.17,0.5,9.8,5.0
7.4,0.18,0.34,1.4,0.023,6.0,106.0,0.98958,3.5,0.7,10.7,6.0
8.7,0.3,0.26,2.2,0.036,36.0,131.0,0.98856,3.07,0.53,12.4,5.0
7.0,0.23,0.49,1.0,0.034,61.0,134.0,0.9934,3.21,0.48,11.9,7.0
6.1,0.3,0.23,1.6,0.032,28.0,124.0,0.99084,3.36,0.43,9.5,7.0
7.6,0.12,0.36,1.5,0.045,34.0,128.0,0.99555,3.42,0.45,10.1,5.0
6.1,0.17,0.32,10.3,0.036,28.0,124.0,0.99084,3.18,0.43,9.1,6.0
8.7,0.24,0.34,8.2,0.044,47.0,182.0,0.9963,3.28,0.6,9.5,5.0
7.0,0.27,0.26,1.6,0.047,20.0,57.0,0.99388,3.22,0.47,10.7,6.0
7.1,0.23,0.33,2.7,0.032,61.0,209.0,0.9911,3.28,0.4,11.1,6.0
7.0,0.27,0.49,1.1,0.048,30.0,149.0,0.9938,3.31,0.42,10.1,7.0
7.4,0.32,0.26,1.6,0.032,74.0,184.0,0.99059,3.15,0.4,11.5,5.0
6.9,0.25,0.42,8.3,0.038,52.0,182.0,0.9979,3.1,0.5,9.5,6.0
7.9,0.12,0.45,1.0,0.038,21.0,105.0,0.9952,3.25,0.45,10.8,5.0
7.1,0.39,0.39,1.8,0.048,33.0,169.0,0.9914,3.28,0.6,9.8,7.0
7.9,0.32,0.26,4.7,0.054,40.0,126.0,0.99278,3.29,0.5,9.8,5.0
6.4,0.17,0.39,8.3,0.036,35.0,169.0,0.9942,3.15,0.51,10.7,6.0
8.1,0.23,0.49,10.3,0.036,52.0,183.0,0.99975,3.02,0.43,9.5,5.0
7.0,0.3,0.45,1.1,0.036,21.0,106.0,0.99388,3.11,0.39,10.8,5.0
8.1,0.24,0.3,2.1,0.034,47.0,182.0,0.9903,3.26,0.35,9.5,5.0
6.4,0.27,0.29,5.2,0.036,30.0,149.0,0.9929,3.22,0.48,9.2,5.0
7.6,0.24,0.26,1.6,0.052,34.0,134.0,0.9977,3.38,0.4,9.5,5.0
6.2,0.3,0.74,1.0,0.036,34.0,121.0,0.99084,3.22,0.39,11.9,4.0
6.4,0.16,0.35,1.5,0.044,30.0,149.0,0.9937,3.42,0.74,10.7,6.0
6.8,0.31,0.29,10.6,0.06,47.0,146.0,0.9966,3.07,0.35,9.3,5.0
7.1,0.16,0.37,8.3,0.044,35.0,228.0,0.9914,3.26,0.51,9.1,6.0
7.3,0.25,0.32,2.4,0.048,30.0,149.0,0.9942,3.29,0.5,10.1,5.0
7.9,0.32,0.25,12.0,0.057,67.0,196.0,0.99527,3.23,0.42,9.0,6.0
6.8,0.16,0.91,1.4,0.034,37.0,133.0,0.9914,3.46,0.5,9.1,7.0
5.9,0.16,0.45,11.6,0.065,35.0,228.0,0.9937,3.38,0.51,9.5,8.0
7.3,0.17,0.39,1.1,0.036,38.0,124.0,0.99084,3.28,0.43,11.0,7.0
8.7,0.2,0.49,9.5,0.048,54.0,228.0,0.9932,3.23,0.42,8.9,6.0
7.3,0.32,0.49,1.4,0.054,41.0,200.0,0.9937,3.14,0.6,10.5,7.0
7.4,0.32,0.26,4.7,0.047,9.0,117.0,0.99546,3.14,0.58,9.5,5.0
7.6,0.3,0.36,4.5,0.032,26.0,106.0,0.993,3.15,0.3,10.7,5.0
7.1,0.3,0.39,1.4,0.036,26.0,122.0,0.99059,3.28,0.47,11.7,7.0
6.4,0.3,0.26,1.6,0.032,17.0,143.0,0.9939,3.12,0.68,9.5,5.0
7.2,0.25,0.3,1.1,0.033,34.0,121.0,0.99109,3.02,0.54,9.2,6.0
8.0,0.46,0.26,14.35,0.038,49.0,192.0,0.99188,2.99,0.47,9.5,5.0
7.1,0.285,0.26,1.6,0.041,34.0,122.0,0.993,3.38,0.56,10.5,5.0
6.4,0.19,0.34,8.2,0.031,61.0,125.0,0.99437,3.14,0.41,11.7,7.0
7.5,0.22,0.49,7.7,0.045,21.0,105.0,0.993,3.18,0.63,10.7,5.0
6.1,0.23,0.49,15.6,0.053,10.0,122.0,0.9972,3.29,0.6,9.4,5.0
6.6,0.3,0.34,1.4,0.053,26.0,106.0,0.993,2.96,0.49,9.4,5.0
8.0,0.19,0.39,1.6,0.048,36.0,99.0,0.99296,3.1,0.66,10.5,5.0
7.0,0.22,0.34,1.4,0.023,9.0,117.0,0.98958,3.18,0.7,10.1,5.0
6.4,0.25,0.44,1.5,0.043,52.0,189.0,0.9932,3.25,0.5,10.5,7.0
7.6,0.17,0.26,5.15,0.05,49.0,228.0,0.99636,3.15,0.42,9.5,5.0
5.9,0.33,0.26,8.4,0.057,52.0,183.0,0.99538,3.25,0.5,9.7,8.0
6.3,0.3,0.49,13.5,0.049,37.0,151.0,0.9939,3.14,0.47,10.7,6.0
6.3,0.18,0.21,1.0,0.043,16.0,99.0,0.99658,3.31,0.54,10.8,7.0
8.3,0.16,0.91,1.3,0.033,36.0,99.0,0.99334,3.39,0.48,13.0,6.0
8.3,0.18,0.21,10.3,0.043,33.0,152.0,0.99658,3.38,0.66,9.5,5.0
7.4,0.19,0.49,5.8,0.049,52.0,187.0,0.9937,3.29,0.38,9.2,5.0
7.3,0.36,0.29,10.6,0.05,20.0,119.0,0.9979,3.09,0.59,9.4,5.0
5.9,0.31,0.34,1.1,0.036,21.0,106.0,0.9908,3.29,0.41,12.2,8.0
5.9,0.2,0.33,4.9,0.057,22.0,84.0,0.99437,3.21,0.42,12.4,8.0
7.6,0.16,0.39,1.5,0.043,56.0,115.0,0.9932,3.11,0.51,11.4,5.0
7.6,0.4,0.39,1.7,0.053,43.0,117.0,0.99059,3.27,0.4,9.4,5.0
6.0,0.16,0.39,1.4,0.036,23.0,122.0,0.9938,3.36,0.51,10.2,6.0
7.6,0.25,0.33,4.4,0.054,52.0,173.0,0.9932,3.14,0.5,9.5,6.0
7.0,0.18,0.37,1.4,0.043,23.0,131.0,0.9949,3.27,0.54,9.3,7.0
6.4,0.35,0.53,0.8,0.048,29.0,117.0,0.9949,3.09,0.4,10.4,5.0
6.3,0.18,0.28,5.9,0.058,37.0,133.0,0.9963,3.29,0.41,9.8,6.0
5.5,0.23,0.3,1.1,0.036,12.0,65.0,0.99555,3.11,0.5,12.2,8.0
7.6,0.32,0.34,1.4,0.174,41.0,107.0,0.99296,2.99,0.5,9.3,6.0
6.9,0.27,0.41,7.8,0.062,9.0,117.0,0.9966,3.19,0.39,10.9666666666667,6.0
7.1,0.35,0.28,1.6,0.032,38.0,124.0,0.99784,3.3,0.43,12.7,6.0
6.1,0.3,0.33,1.4,0.036,52.0,173.0,0.9903,3.26,0.49,9.5,6.0
7.0,0.32,0.26,1.5,0.041,55.0,122.0,0.99787,3.17,0.5,10.0,5.0
7.6,0.53,0.26,9.8,0.053,49.0,226.0,0.9939,3.14,0.5,9.4,5.0
7.2,0.17,0.34,9.8,0.042,61.0,134.0,0.99296,2.99,0.4,13.2,5.0
7.6,0.32,0.28,6.4,0.044,61.0,209.0,0.9914,3.28,0.6,11.5,5.0
7.6,0.28,0.29,1.4,0.05,36.0,99.0,0.9952,3.14,0.35,9.2,5.0
6.7,0.285,0.29,5.15,0.045,61.0,134.0,0.9965,3.28,0.54,11.1,6.0
7.6,0.16,0.49,1.4,0.047,13.0,138.0,0.9937,3.21,0.51,9.6,6.0
6.4,0.3,0.32,1.1,0.036,23.0,116.0,0.99109,3.17,0.39,9.4,5.0
6.3,0.23,0.32,2.9,0.045,52.0,189.0,0.9939,3.18,0.47,9.5,7.0
7.0,0.29,0.31,10.8,0.048,61.0,134.0,0.9937,3.09,0.59,10.9666666666667,6.0
7.4,0.3,0.45,1.6,0.053,52.0,196.0,0.9979,3.14,0.48,9.4,7.0
6.9,0.27,0.29,1.9,0.052,26.0,122.0,0.9942,3.14,0.43,11.0,7.0
7.4,0.24,0.26,1.4,0.036,20.0,142.0,0.9939,3.17,0.5,10.5,5.0
6.8,0.3,0.49,10.3,0.049,52.0,189.0,0.9963,3.09,0.41,9.5,7.0
7.2,0.19,0.29,1.4,0.053,47.0,146.0,0.99382,3.02,0.66,9.5,5.0
7.9,0.29,0.41,4.4,0.045,26.0,146.0,0.9942,3.09,0.59,9.2,6.0
7.5,0.27,0.34,1.5,0.058,23.0,131.0,0.9965,2.99,0.48,9.3,7.0
6.1,0.32,0.26,5.3,0.043,30.0,124.0,0.99532,3.22,0.5,9.8,6.0
6.3,0.15,0.34,1.4,0.037,44.0,140.0,0.99288,3.13,0.45,11.5,6.0
7.1,0.23,0.37,5.1,0.043,16.0,104.0,0.99188,3.18,0.54,10.1,6.0
7.1,0.16,0.32,1.5,0.033,30.0,124.0,0.99084,3.11,0.47,11.7,6.0
6.9,0.27,0.26,5.8,0.051,37.0,133.0,0.99699,3.38,0.6,10.2,6.0
6.3,0.39,0.26,5.3,0.051,44.0,140.0,0.9949,3.16,0.5,9.5,6.0
7.6,0.3,0.32,1.6,0.031,23.0,132.0,0.9911,3.25,0.32,9.4,6.0
6.0,0.18,0.28,1.0,0.036,52.0,189.0,0.99084,3.46,0.41,9.0,6.0
6.0,0.18,0.21,1.4,0.043,34.0,128.0,0.9998,3.27,0.54,11.5,4.0
8.3,0.12,0.25,1.0,0.038,47.0,146.0,0.9939,3.1,0.45,10.5,6.0
7.6,0.55,0.26,9.3,0.056,49.0,159.0,0.99216,3.14,0.6,10.5,6.0
7.6,0.35,0.26,4.7,0.053,13.0,57.0,0.9955,3.17,0.48,12.4,5.0
7.2,0.3,0.35,5.2,0.03,41.0,107.0,0.9887,3.36,0.3,10.3,5.0
6.0,0.29,0.25,1.1,0.057,21.0,145.0,0.99784,3.11,0.41,9.0,5.0
6.7,0.24,0.37,1.4,0.041,21.0,105.0,0.9988,3.14,0.54,9.3,5.0
7.1,0.27,0.39,1.1,0.028,23.0,122.0,0.992,3.14,0.42,10.2,6.0
7.3,0.33,0.86,1.6,0.174,36.0,99.0,0.99296,2.92,0.5,9.5,5.0
7.9,0.19,0.26,8.2,0.045,52.0,196.0,0.9937,3.09,0.64,9.5,6.0
7.4,0.32,0.26,1.5,0.048,16.0,104.0,0.9932,3.14,0.5,10.8,7.0
7.6,0.34,0.26,10.3,0.051,26.0,108.0,0.99382,3.17,0.5,9.4,5.0
6.3,0.24,0.32,1.5,0.045,34.0,122.0,0.99059,3.52,0.47,9.4,4.0
7.4,0.105,0.29,8.2,0.035,50.0,228.0,0.9916,3.09,0.39,10.7,5.0
6.4,0.24,0.26,8.2,0.05,47.0,182.0,0.99538,3.14,0.5,9.5,6.0
6.9,0.24,0.29,22.6,0.041,55.0,122.0,0.9942,3.15,0.55,11.1,6.0
6.9,0.12,0.32,5.8,0.057,47.0,182.0,0.99699,3.17,0.5,11.5,6.0
6.0,0.16,0.26,1.5,0.147,26.0,132.0,0.99434,3.38,0.47,10.5,6.0
